Title,Genre,Rating,Author,url,Description,Book_id
Kaplan GMAT Verbal Workbook,GMAT,4.6,Kaplan Test Prep,https://m.media-amazon.com/images/I/71d4-4Dud7L._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,16
The Official Guide for GMAT Verbal Review,GMAT,4.2,GMAC (Graduate Management Admission Council),https://m.media-amazon.com/images/I/61a9+lsbDpL._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,17
Kaplan GMAT Math Workbook,GMAT,5,Kaplan Test Prep,https://m.media-amazon.com/images/I/91z1cx5bBxL._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,18
Official IELTS Practise Material,IELTS ,4.2,Cambridge ESOL,https://m.media-amazon.com/images/I/41IM9FxtmOL._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,19
The Official Cambridge Guide to IELTS,IELTS ,4.4,Pauline Cullen,https://m.media-amazon.com/images/I/91oc6Hcx1ML._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,20
Barron’s IELTS Superpack,IELTS ,4.5,Lin Lougheed Ph.D.,https://m.media-amazon.com/images/I/712z3ZEmxhL._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,21
Cambridge English: IELTS 11 Academic with Answers,IELTS ,4.4,Cambridge English Language Assessment,https://m.media-amazon.com/images/I/71ZpLikWoJL._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,22
Target Band 7: IELTS Academic Module- How to Maximise your score,IELTS ,4.1,Simone Braverman ,"https://images-na.ssl-images-amazon.com/images/I/51b7a9unuEL._SX384_BO1,204,203,200_.jpg",A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,23
Road to IELTS,IELTS ,4.2,Vinod Gambtoo,https://m.media-amazon.com/images/I/71B8Op3kTqL._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,24
Kaplan’s TOEFL iBT Premier,TOEFL ,4.1,Kaplan Test Prep ,https://m.media-amazon.com/images/I/51uB+YORxIL._AC_UY218_.jpg,"Affairs preparation for more than 90 standardized tests, including test prep for English language exams such as the IELTS, TOEFL, and TOEIC",25
Barrons’ TOEFL iBT,TOEFL ,4.3,Pamela J. Sharpe Ph.D.,https://m.media-amazon.com/images/I/71HDm1FoFrL._AC_UY218_.jpg,"Affairs preparation for more than 90 standardized tests, including test prep for English language exams such as the IELTS, TOEFL, and TOEIC",26
The Official Guide to the TOEFL Test and Official TOEFL iBT Tests (Volumes 1 and 2),TOEFL ,4.5,ETS,https://m.media-amazon.com/images/I/51sj9UhcKpL._AC_UY218_.jpg,"Affairs preparation for more than 90 standardized tests, including test prep for English language exams such as the IELTS, TOEFL, and TOEIC",27
Cambridge Preparation for TOEFL,TOEFL ,4,Gear,https://m.media-amazon.com/images/I/A1FKZDYET1L._AC_UY218_.jpg,"Affairs preparation for more than 90 standardized tests, including test prep for English language exams such as the IELTS, TOEFL, and TOEIC",28
